ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude
C_Lol,C_Lol,,-1.38362,18.09748,boli1255,,C,West-Congo Basin,C36,C-Lol,Lolia,1,-1.3,18.2
C_Bdz,C_Bdz,,2.19951,22.6107,budz1238,,C,West-Congo Basin,C36c,C-Bdz,Budza,1,2.2,22.5
C_Lin,C_Lin,,-4.409174,15.28532,ling1263,,C,West-Congo Basin,C36d,C-Lin,Lingala,1,1.5,17.5
C_Lko,C_Lko,,,,,,C,West-Congo Basin,C36g,C-Lko,Leko,2,0.8,18.6
C_Bdj,C_Bdj,,,,budj1234,,C,West-Congo Basin,C37,C-Bdj,Budja,4,2.2,23.2
C_Kul,C_Kul,,,,,,C,West-Congo Basin,C41,C-Kul,Kula,3,2.3,20.2
C_Ngo,C_Ngo,,1.45357,20.14148,ngom1268,,C,West-Congo Basin,C41,C-Ngo,Ngombe,3,1.2,19.8
C_Ben,C_Ben,,,,beng1281,,C,Boan-Lebonya,C43,C-Ben,Benge,5,3.4,23.9
C_Boa,C_Boa,,2.5957,25.2514,bwaa1238,,C,Boan-Lebonya,C44a,C-Boa,Boa,3,2.7,23.8
C_Leb,C_Leb,,,,beoo1240,,C,Boan-Lebonya,C45,C-Leb,Lebeo,6,2.5,27
C_Nge,C_Nge,,1.81314,24.8754,ngel1238,,C,Boan-Lebonya,C45,C-Nge,Ngelema,1,1.5,25
C_Ela,C_Ela,,,,,,C,West-Congo Basin,C50,C-Ela,Elambo,1,-1,23.75
C_Mbe,C_Mbe,,1.6207,22.8389,mbes1238,,C,West-Congo Basin,C51,C-Mbe,Mbesa,3,1.1,23.15
C_Hes,C_Hes,,1.25037,23.6907,sode1235,,C,West-Congo Basin,C52,C-Hes,Heso,3,0.7,24.2
C_Lon,C_Lon,,,,,,C,West-Congo Basin,C52,C-Lon,Lolinga,1,1.05,23.85
C_Lyo,C_Lyo,,,,,,C,West-Congo Basin,C52,C-Lyo,Lyombo,2,0.5,24.3
C_Bau,C_Bau,,,,,,C,West-Congo Basin,C53,C-Bau,Bauma,6,0,24
C_Wen,C_Wen,,,,,,C,West-Congo Basin,C53,C-Wen,Wenge,7,0.1,24.1
C_Ilo,C_Ilo,,,,,,C,West-Congo Basin,C54,C-Ilo,Ilombo,1,1,24.3
C_Kle,C_Kle,,0.36906,24.3098,kele1255,,C,West-Congo Basin,C55,C-Kle,Kele,1,0.8,24.2
C_Kun,C_Kun,,,,nkun1238,,C,West-Congo Basin,C61,C-Kun,Kundo,0,-1,19.6
C_Mng,C_Mng,,-1.54228,20.4259,mong1338,,C,West-Congo Basin,C61,C-Mng,Mongo,1,-0.6,24.3
